,B_mag_0_0,G_mag_0_0,H_mag_0_0,J_mag_0_0,K_mag_0_0,Kepler_mag_0_0,Teff_0_0,V_mag_0_0,W1_mag_0_0,W2_mag_0_0,W3_mag_0_0,age_0_0,g_mag_0_0,i_mag_0_0,logL_0_0,logg_0_0,mass_0_0,r_mag_0_0,radius_0_0,z_mag_0_0,age_0,feh_0,distance_0,AV_0,B_mag,G_mag,H_mag,J_mag,K_mag,Kepler_mag,V_mag,W1_mag,W2_mag,W3_mag,g_mag,i_mag,r_mag,z_mag,lnprob
10,16.0601276284,14.2516902966,11.7550789976,12.3515984853,11.5867315687,14.2884300628,4653.92998544,14.847080895,11.4437902086,11.39862149,11.5409164443,10.0650183781,15.5254687369,13.9057431917,-1.04879990587,4.81082458058,0.500506729741,14.4135546872,0.460793924742,13.581101702,10.0650183781,-1.85380351343,168.323300328,0.974405713296,16.0601276284,14.2516902966,11.7550789976,12.3515984853,11.5867315687,14.2884300628,14.847080895,11.4437902086,11.39862149,11.5409164443,15.5254687369,13.9057431917,14.4135546872,13.581101702,-168.432894954
11,16.0666665556,14.2726740006,11.7912278366,12.3824817323,11.6211775791,14.3027408323,4612.17622476,14.8563690755,11.4749084786,11.4270763422,11.5507872468,10.0870436604,15.5337672218,13.9230048171,-1.08677091218,4.82409407727,0.489514700035,14.4258609113,0.448796958073,13.6034109896,10.0870436604,-1.91084860434,165.637329243,0.904998027203,16.0666665556,14.2726740006,11.7912278366,12.3824817323,11.6211775791,14.3027408323,14.8563690755,11.4749084786,11.4270763422,11.5507872468,15.5337672218,13.9230048171,14.4258609113,13.6034109896,-168.259496288
12,16.0219364741,14.2556247302,11.7619051239,12.3846972519,11.6134901869,14.2912705836,4728.78660484,14.8331490311,11.5001830375,11.4809276608,11.629068141,10.1055607072,15.4921055348,13.9288622463,-0.93552521058,4.75206966698,0.529661584466,14.4104228437,0.507199104861,13.6188171433,10.1055607072,-1.34493334708,193.36879635,0.974595193339,16.0219364741,14.2556247302,11.7619051239,12.3846972519,11.6134901869,14.2912705836,14.8331490311,11.5001830375,11.4809276608,11.629068141,15.4921055348,13.9288622463,14.4104228437,13.6188171433,-168.190543625
13,16.091059705,14.2763270852,11.7534447642,12.3673178932,11.5879119928,14.3064736903,4593.42824587,14.8664036996,11.4511772931,11.4140438589,11.5382764046,10.0777091526,15.5514945825,13.9238023185,-1.06766784249,4.80509733966,0.493635279372,14.42784131,0.460647267822,13.6022551692,10.0777091526,-1.66878403518,168.678018375,0.91278532896,16.091059705,14.2763270852,11.7534447642,12.3673178932,11.5879119928,14.3064736903,14.8664036996,11.4511772931,11.4140438589,11.5382764046,15.5514945825,13.9238023185,14.42784131,13.6022551692,-168.066081051
14,16.0440247112,14.2725268482,11.7908140085,12.3991013944,11.6350574957,14.3076333179,4706.78613238,14.85220774,11.5096184913,11.4790826453,11.6241398495,10.0082604279,15.5146730534,13.9395902812,-0.982702083422,4.78303874641,0.520754328479,14.4288520096,0.485300954207,13.6266916728,10.0082604279,-1.57547194934,184.838757059,0.964094501758,16.0440247112,14.2725268482,11.7908140085,12.3991013944,11.6350574957,14.3076333179,14.85220774,11.5096184913,11.4790826453,11.6241398495,15.5146730534,13.9395902812,14.4288520096,13.6266916728,-168.030891597
15,16.0944139297,14.2839148758,11.7833749212,12.3821943553,11.6156698553,14.3209195557,4655.026386,14.880113166,11.4739600751,11.4301217283,11.5734238823,10.0455973659,15.5590116552,13.9380835916,-1.04626214344,4.81141576676,0.505027810653,14.4459195709,0.462555487966,13.6132788215,10.0455973659,-1.82533250635,171.14705527,0.978154204918,16.0944139297,14.2839148758,11.7833749212,12.3821943553,11.6156698553,14.3209195557,14.880113166,11.4739600751,11.4301217283,11.5734238823,15.5590116552,13.9380835916,14.4459195709,13.6132788215,-167.882375648
16,16.0231827745,14.2509858852,11.7873510758,12.3797796532,11.6258851473,14.2882130096,4715.70194601,14.8343591733,11.4906295618,11.4499536628,11.5990455475,10.0041190047,15.4967730954,13.9170426911,-1.00154101605,4.79909542764,0.514390313101,14.4120595993,0.473492114953,13.6010155242,10.0041190047,-1.78361808344,178.496777126,0.979233586197,16.0231827745,14.2509858852,11.7873510758,12.3797796532,11.6258851473,14.2882130096,14.8343591733,11.4906295618,11.4499536628,11.5990455475,15.4967730954,13.9170426911,14.4120595993,13.6010155242,-167.852488629
17,16.0633196001,14.2631664223,11.7149259673,12.3613958149,11.566681169,14.2944983916,4648.00636831,14.8483836213,11.4575369528,11.4450876497,11.5774561759,10.0855068991,15.5249650483,13.9232466157,-0.965491409101,4.75176017198,0.529574794938,14.4107309523,0.507338290942,13.6094070634,10.0855068991,-1.20800278789,187.915582145,0.937310513481,16.0633196001,14.2631664223,11.7149259673,12.3613958149,11.566681169,14.2944983916,14.8483836213,11.4575369528,11.4450876497,11.5774561759,15.5249650483,13.9232466157,14.4107309523,13.6094070634,-167.840491811
18,16.0672106511,14.265775921,11.7111026188,12.3651471387,11.5686178638,14.3019775656,4700.63201303,14.8552357048,11.468929124,11.4647530528,11.6106950726,10.0044826231,15.5279310077,13.9340034007,-0.906108487864,4.73037801481,0.552324339538,14.4181135054,0.531033791679,13.6200749776,10.0044826231,-1.03692140533,199.190093645,0.99180009299,16.0672106511,14.265775921,11.7111026188,12.3651471387,11.5686178638,14.3019775656,14.8552357048,11.468929124,11.4647530528,11.6106950726,15.5279310077,13.9340034007,14.4181135054,13.6200749776,-167.829645742
19,16.0392417716,14.2585542621,11.7832339702,12.3782179607,11.6178575609,14.2889515577,4638.6796132,14.8374888642,11.4779143186,11.4352634258,11.5631401582,10.0149050738,15.5085055879,13.9142693672,-1.05675040456,4.81367420972,0.501458907224,14.4109201704,0.459721319242,13.5986600705,10.0149050738,-1.81198342909,170.511969638,0.910570436839,16.0392417716,14.2585542621,11.7832339702,12.3782179607,11.6178575609,14.2889515577,14.8374888642,11.4779143186,11.4352634258,11.5631401582,15.5085055879,13.9142693672,14.4109201704,13.5986600705,-167.732985269
20,16.0971566862,14.2832550176,11.7876220529,12.3799967787,11.6169267916,14.3211443829,4653.91465772,14.8820081451,11.4704857496,11.4219724918,11.5659896633,10.0170714885,15.5621859144,13.9361620552,-1.05952837105,4.82034356493,0.497711931912,14.4474123038,0.454497310864,13.6091572674,10.0170714885,-1.93024814314,168.176723767,0.984621194194,16.0971566862,14.2832550176,11.7876220529,12.3799967787,11.6169267916,14.3211443829,14.8820081451,11.4704857496,11.4219724918,11.5659896633,15.5621859144,13.9361620552,14.4474123038,13.6091572674,-167.604736435
21,16.0311786081,14.2571167424,11.8087065916,12.38443352,11.6391915761,14.2938671166,4692.87668393,14.8433658043,11.4908605297,11.4371813821,11.5791243802,10.1095147997,15.5086562145,13.91750793,-1.04642282717,4.81898535603,0.497219062117,14.4199050987,0.454983116545,13.5977455399,10.1095147997,-2.08439760722,170.304111399,0.965139343753,16.0311786081,14.2571167424,11.8087065916,12.38443352,11.6391915761,14.2938671166,14.8433658043,11.4908605297,11.4371813821,11.5791243802,15.5086562145,13.91750793,14.4199050987,13.5977455399,-167.506374423
22,16.0610428815,14.2577852357,11.743282758,12.3576447109,11.5809795346,14.2889944228,4621.56932771,14.8445647051,11.4483134964,11.414128181,11.5435023753,10.0084626625,15.5236440731,13.9103589783,-1.04437034262,4.79980584296,0.507853526755,14.4099499503,0.470089324937,13.5914924128,10.0084626625,-1.62536336888,171.652883761,0.924928853499,16.0610428815,14.2577852357,11.743282758,12.3576447109,11.5809795346,14.2889944228,14.8445647051,11.4483134964,11.414128181,11.5435023753,15.5236440731,13.9103589783,14.4099499503,13.5914924128,-167.500963391
23,16.0975081577,14.2653431799,11.7490814752,12.3470811954,11.5760333949,14.3020449027,4617.36873567,14.8687893598,11.4277538798,11.379321457,11.517965343,10.033532411,15.5573544849,13.9120290109,-1.0836384795,4.82562051231,0.491719112688,14.4282538162,0.449016564492,13.581666655,10.033532411,-1.90931556881,162.148358345,0.974293663164,16.0975081577,14.2653431799,11.7490814752,12.3470811954,11.5760333949,14.3020449027,14.8687893598,11.4277538798,11.379321457,11.517965343,15.5573544849,13.9120290109,14.4282538162,13.581666655,-167.499988469
24,16.0593033869,14.2768531711,11.7885411552,12.3948569206,11.629071442,14.3111103394,4679.09937884,14.8597644069,11.4986024448,11.4641930496,11.6048897649,10.0148484205,15.5279273931,13.9385758448,-1.008804023,4.7927627791,0.514129145966,14.4328742877,0.476835737394,13.6228922539,10.0148484205,-1.65067602456,179.841710856,0.9540630178,16.0593033869,14.2768531711,11.7885411552,12.3948569206,11.629071442,14.3111103394,14.8597644069,11.4986024448,11.4641930496,11.6048897649,15.5279273931,13.9385758448,14.4328742877,13.6228922539,-167.475375476
25,16.0498395697,14.2733827465,11.7929863249,12.3960347375,11.6331524412,14.30686575,4679.07485321,14.853548426,11.5015796694,11.4658565957,11.6047990772,10.0678205262,15.519919443,13.9355173714,-1.01042638459,4.79168180307,0.50988903651,14.4285261592,0.475456741533,13.6210870138,10.0678205262,-1.67804108653,179.756201654,0.94513858158,16.0498395697,14.2733827465,11.7929863249,12.3960347375,11.6331524412,14.30686575,14.853548426,11.5015796694,11.4658565957,11.6047990772,15.519919443,13.9355173714,14.4285261592,13.6210870138,-167.396345495
26,16.0564807845,14.271844594,11.8010106803,12.3897830101,11.6332047653,14.3046438122,4650.47025499,14.8552382658,11.4892841385,11.4422695396,11.5752158444,10.0797964985,15.526716802,13.9277839244,-1.0579559339,4.8161063378,0.496694084773,14.428335878,0.456252649302,13.6092571238,10.0797964985,-1.90795443539,170.367911801,0.932208274101,16.0564807845,14.271844594,11.8010106803,12.3897830101,11.6332047653,14.3046438122,14.8552382658,11.4892841385,11.4422695396,11.5752158444,15.526716802,13.9277839244,14.428335878,13.6092571238,-167.294392999
